<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СевСт-ао;W;20161212;000000;981;983;944;945;3706310;0
СевСт-ао;W;20161219;000000;947.3;948.6;898;900.8;1977140;0
СевСт-ао;W;20161226;000000;902.3;942.2;900.9;942.2;1669010;0
СевСт-ао;W;20170102;000000;944;969.1;923.5;941.9;1574690;0
СевСт-ао;W;20170109;000000;941.9;969;924.6;942.6;1549050;0
СевСт-ао;W;20170116;000000;940;954.4;910.8;912.7;1332630;0
СевСт-ао;W;20170123;000000;912.7;994.3;897.4;993.7;2799550;0
СевСт-ао;W;20170130;000000;984;992.2;921;932.6;2415420;0
СевСт-ао;W;20170206;000000;931.7;960.2;884;909.8;4308550;0
СевСт-ао;W;20170213;000000;910.1;928.3;879;882.9;2509560;0
СевСт-ао;W;20170220;000000;882;905;841.2;849.7;2349200;0
СевСт-ао;W;20170227;000000;850;869.1;818;825;2918270;0
СевСт-ао;W;20170306;000000;830;838.4;787.7;810.2;2308260;0
СевСт-ао;W;20170313;000000;810.1;845;810.1;833.5;3826880;0
СевСт-ао;W;20170320;000000;832.4;844.2;803.1;825;3044500;0
СевСт-ао;W;20170327;000000;824.8;834.1;800;809.9;2395680;0
СевСт-ао;W;20170403;000000;809.5;860;809.1;840;3501570;0
СевСт-ао;W;20170410;000000;843.4;853.5;772.7;781.4;2881370;0
СевСт-ао;W;20170417;000000;777;798.5;747.2;774;3364240;0
СевСт-ао;W;20170424;000000;770.7;801.7;768;776;2835090;0
СевСт-ао;W;20170501;000000;780.9;786;766.3;775.3;2399350;0
СевСт-ао;W;20170508;000000;777.9;783.6;742.4;748.5;1973860;0
СевСт-ао;W;20170515;000000;749.6;755;724.7;735.6;3881810;0
СевСт-ао;W;20170522;000000;740.6;768.6;721.6;749;3180940;0
СевСт-ао;W;20170529;000000;752.8;762.7;722.1;726.4;5025260;0
СевСт-ао;W;20170605;000000;730.1;749;711.7;732.3;3014230;0
СевСт-ао;W;20170612;000000;730;734.4;685.7;717;6215210;0
СевСт-ао;W;20170619;000000;675;728.6;672.5;728;4852800;0
СевСт-ао;W;20170626;000000;723.2;786;718;776;4220630;0
СевСт-ао;W;20170703;000000;777.9;819.6;774.2;800.6;3306720;0
СевСт-ао;W;20170710;000000;806.9;851.7;793.4;835;3218390;0
СевСт-ао;W;20170717;000000;833;864.6;815.1;820;4755130;0
СевСт-ао;W;20170724;000000;818.6;847.3;817.5;820.5;2447800;0
СевСт-ао;W;20170731;000000;823;859.5;818.6;845.3;2727320;0
СевСт-ао;W;20170807;000000;849;870;828;828;2994800;0
СевСт-ао;W;20170814;000000;830.2;852.5;828.7;850;2233650;0
СевСт-ао;W;20170821;000000;851;883.9;849.1;879;2258330;0
СевСт-ао;W;20170828;000000;880;923.9;860.3;894.9;3367500;0
СевСт-ао;W;20170904;000000;892;914.5;880;898.3;2923360;0
СевСт-ао;W;20170911;000000;898.2;922.7;891.1;912.2;2631860;0
СевСт-ао;W;20170918;000000;918;918;873.2;882.3;3769750;0
СевСт-ао;W;20170925;000000;865;885.1;861.6;869.5;2674710;0
СевСт-ао;W;20171002;000000;870.1;894.8;869.6;886.2;2249220;0
СевСт-ао;W;20171009;000000;888;916;886.2;903.2;2918200;0
СевСт-ао;W;20171016;000000;904;912.6;886;905;3553060;0
СевСт-ао;W;20171023;000000;906.7;930;896.9;905.5;3656200;0
СевСт-ао;W;20171030;000000;900;915;897.8;902.3;2819610;0
СевСт-ао;W;20171106;000000;907;928;881.3;884.4;8524320;0
СевСт-ао;W;20171113;000000;888;911.9;885.5;894.6;9551890;0
СевСт-ао;W;20171120;000000;894.8;919.8;890;910.5;3391220;0
СевСт-ао;W;20171127;000000;910.7;924;895;912.5;5013720;0
СевСт-ао;W;20171204;000000;882;894.9;860.9;886.7;3828970;0
СевСт-ао;W;20171211;000000;886.5;902;883;901.4;2905750;0
СевСт-ао;W;20171218;000000;901.4;902.7;868.1;876.9;2031210;0
СевСт-ао;W;20171225;000000;875.2;899.9;869.2;887.4;1313910;0
СевСт-ао;W;20180101;000000;888.1;920;887.4;920;1451100;0
СевСт-ао;W;20180108;000000;919.2;968.6;915.1;968.6;3223710;0
СевСт-ао;W;20180115;000000;963.8;979.5;931;953;3471540;0
СевСт-ао;W;20180122;000000;955;973.7;921.6;952.7;3468930;0
СевСт-ао;W;20180129;000000;952.3;960.4;915.2;918;3610440;0
СевСт-ао;W;20180205;000000;917.9;932.2;899.1;907;3715850;0
СевСт-ао;W;20180212;000000;911.2;963.4;907.1;949.2;3729420;0
СевСт-ао;W;20180219;000000;950;959;927.5;936;1743810;0
СевСт-ао;W;20180226;000000;938;952.4;882.7;897.3;4042680;0
СевСт-ао;W;20180305;000000;897.3;909.5;876.4;886.5;3554350;0
СевСт-ао;W;20180312;000000;890;907.1;875.9;907.1;5481570;0
СевСт-ао;W;20180319;000000;904.4;911;863.1;882;6271920;0
СевСт-ао;W;20180326;000000;883.4;883.5;863.9;872.4;3011680;0
СевСт-ао;W;20180402;000000;873.8;895.1;867;890.2;2501790;0
СевСт-ао;W;20180409;000000;886;923;786.7;881;7426990;0
СевСт-ао;W;20180416;000000;880;954.9;875.3;953.7;5546680;0
СевСт-ао;W;20180423;000000;953.9;1010;949.2;988;4019380;0
СевСт-ао;W;20180430;000000;992;1018;973.2;975.5;2291440;0
СевСт-ао;W;20180507;000000;980.8;996.6;967;986.2;2549250;0
СевСт-ао;W;20180514;000000;983.4;998.7;975.5;994.3;2839650;0
СевСт-ао;W;20180521;000000;997.4;1023.5;978.3;1012;2614470;0
СевСт-ао;W;20180528;000000;1012.8;1022;993.5;994.8;3091460;0
СевСт-ао;W;20180604;000000;1001.8;1041.3;998.5;1025;2832250;0
СевСт-ао;W;20180611;000000;1024.5;1055.3;1020.5;1039.4;3630100;0
СевСт-ао;W;20180618;000000;978;1000;935.4;961.7;4451360;0
СевСт-ао;W;20180625;000000;962.1;967.5;907.9;930.1;2949080;0
СевСт-ао;W;20180702;000000;925;946.9;918;941.9;2912580;0
СевСт-ао;W;20180709;000000;942.1;974.9;938.3;961.6;3179690;0
СевСт-ао;W;20180716;000000;964.6;1015.6;942.7;972.5;4139000;0
СевСт-ао;W;20180723;000000;973.5;1014.7;972.3;1014.7;3893960;0
СевСт-ао;W;20180730;000000;1013;1025.7;984.7;1024.5;3703680;0
СевСт-ао;W;20180806;000000;1025.7;1032;971.1;986.1;4614440;0
СевСт-ао;W;20180813;000000;985.9;1030;978.1;1020.2;3682880;0
СевСт-ао;W;20180820;000000;1024.8;1075;1021.4;1075;3036980;0
СевСт-ао;W;20180827;000000;1075;1106;1065;1086.1;2669340;0
СевСт-ао;W;20180903;000000;1089;1103.7;1053;1057;1811250;0
СевСт-ао;W;20180910;000000;1057.8;1098;1051.1;1087;3389040;0
СевСт-ао;W;20180917;000000;1088;1115;1071.6;1115;4307140;0
СевСт-ао;W;20180924;000000;1072.3;1096.9;1059.3;1091.3;4113880;0
СевСт-ао;W;20181001;000000;1092.5;1118.6;1071.9;1094.2;2493440;0
СевСт-ао;W;20181008;000000;1095.9;1114.3;1050.2;1057;3459890;0
СевСт-ао;W;20181015;000000;1057;1078.7;1022.1;1049.3;3177440;0
СевСт-ао;W;20181022;000000;1052.6;1060.6;987.5;994.5;4153530;0
СевСт-ао;W;20181029;000000;994.5;1045.5;986.5;1040.5;3112400;0
СевСт-ао;W;20181105;000000;1040.6;1054;1015.5;1039.3;2509020;0
СевСт-ао;W;20181112;000000;1039;1046;1021.5;1024.1;2751300;0
СевСт-ао;W;20181119;000000;1024.1;1030.4;999.4;1002;3613860;0
СевСт-ао;W;20181126;000000;1004.2;1008.8;985.5;1002.7;5594770;0
СевСт-ао;W;20181203;000000;974.5;988.4;948.7;955.1;4665740;0
СевСт-ао;W;20181210;000000;950.5;959.9;925.6;936.2;2672230;0
СевСт-ао;W;20181217;000000;935;969.4;931.4;945;3519530;0
СевСт-ао;W;20181224;000000;942.8;949.5;904.7;942.9;2570960;0
СевСт-ао;W;20181231;000000;940;949.7;926.3;949.7;937240;0
СевСт-ао;W;20190107;000000;952;973.5;941.3;972.5;3027950;0
СевСт-ао;W;20190114;000000;969.8;969.8;945.2;954.8;2700290;0
СевСт-ао;W;20190121;000000;956;956.9;922.3;951;2731890;0
СевСт-ао;W;20190128;000000;951;1014.8;942.2;1014.8;4987290;0
СевСт-ао;W;20190204;000000;1015.2;1039.8;1010.2;1022.2;4388660;0
СевСт-ао;W;20190211;000000;1021;1039.2;1001.6;1024.2;3345280;0
СевСт-ао;W;20190218;000000;1023;1028;990.4;1001.6;2497710;0
СевСт-ао;W;20190225;000000;1005.4;1039.6;1002;1029;3189380;0
СевСт-ао;W;20190304;000000;1033.4;1048.6;1019.4;1020.8;2735400;0
СевСт-ао;W;20190311;000000;1015.2;1041;1004.4;1036.8;3883410;0
СевСт-ао;W;20190318;000000;1034.8;1038.4;1007;1013.6;3755260;0
СевСт-ао;W;20190325;000000;1011;1035.8;1004.4;1028;2493090;0
СевСт-ао;W;20190401;000000;1029.6;1059.8;1021.6;1043.2;2819130;0
СевСт-ао;W;20190408;000000;1045.8;1054;1022.6;1039.2;3051690;0
СевСт-ао;W;20190415;000000;1039.2;1053.4;1030.6;1047.6;2428040;0
СевСт-ао;W;20190422;000000;1050;1059.4;1035.2;1059.4;2780820;0
СевСт-ао;W;20190429;000000;1059;1065.8;1045.2;1055;2220670;0
СевСт-ао;W;20190506;000000;1026.6;1043.4;998.6;998.6;3163110;0
СевСт-ао;W;20190513;000000;1000;1006;967;973.2;3773860;0
СевСт-ао;W;20190520;000000;977;1013.8;975.8;998.2;3875250;0
СевСт-ао;W;20190527;000000;999;1050.4;999;1036.4;3784390;0
СевСт-ао;W;20190603;000000;1030;1054.6;1024;1050;3287410;0
СевСт-ао;W;20190610;000000;1050.4;1121.6;1050.2;1121;4221600;0
СевСт-ао;W;20190617;000000;1090;1101.8;1053.4;1097.4;5163250;0
СевСт-ао;W;20190624;000000;1095;1104;1065;1067.6;2633400;0
СевСт-ао;W;20190701;000000;1074.4;1085;1048.4;1051.8;3252480;0
СевСт-ао;W;20190708;000000;1048.6;1080.4;1038;1044.4;3237810;0
СевСт-ао;W;20190715;000000;1049.6;1073;1040.6;1043.4;2768190;0
СевСт-ао;W;20190722;000000;1048.6;1061.6;1025.2;1026.8;2621350;0
СевСт-ао;W;20190729;000000;1028.6;1050;1000.4;1000.4;2481520;0
СевСт-ао;W;20190805;000000;1002.2;1011;970.6;970.6;5334780;0
СевСт-ао;W;20190812;000000;970;977.6;926.8;928.4;5061150;0
СевСт-ао;W;20190819;000000;933.4;964;926;946;4160030;0
СевСт-ао;W;20190826;000000;942;1002.8;937.2;1002.8;4746490;0
СевСт-ао;W;20190902;000000;1000.2;1008.8;982.4;992.8;4668491;0
СевСт-ао;W;20190909;000000;1002.8;1023.8;993.6;1014;4931266;0
СевСт-ао;W;20190916;000000;991;1003.6;956.8;965;6010305;0
СевСт-ао;W;20190923;000000;966;966.6;935;944.4;4449120;0
СевСт-ао;W;20190930;000000;945.4;950.2;869.8;876.8;7729982;0
СевСт-ао;W;20191007;000000;879;906.4;862.2;893.4;6278975;0
СевСт-ао;W;20191014;000000;897.8;899.6;864;881;6979084;0
СевСт-ао;W;20191021;000000;879.8;882.2;870.2;878.4;5541081;0
СевСт-ао;W;20191028;000000;880;906.2;878.2;893.2;5613668;0
СевСт-ао;W;20191104;000000;895.2;938.4;895;909.6;7334771;0
СевСт-ао;W;20191111;000000;908.8;916.2;875.2;881.4;7311216;0
СевСт-ао;W;20191118;000000;883.2;906.8;880;901.8;6542293;0
СевСт-ао;W;20191125;000000;903.8;920.8;898.8;908;7581416;0
СевСт-ао;W;20191202;000000;884.2;891;865;883;5862453;0
СевСт-ао;W;20191209;000000;885;920;881.2;918.4;5857330;0
СевСт-ао;W;20191216;000000;920.2;930;914.6;926.4;4906330;0
СевСт-ао;W;20191223;000000;926.4;943;920.4;938.2;2110049;0
СевСт-ао;W;20191230;000000;940;947.4;936;945.8;1049529;0
СевСт-ао;W;20200106;000000;945;945.6;918;937.4;2903304;0
СевСт-ао;W;20200113;000000;942;978;936;977.2;6439574;0
СевСт-ао;W;20200120;000000;980;1000;946;956.2;5083868;0
СевСт-ао;W;20200127;000000;946.6;953;911.4;911.4;5193016;0
СевСт-ао;W;20200203;000000;909.8;935.4;904.2;935.4;6472965;0
СевСт-ао;W;20200210;000000;934.2;943;919.2;928;4275883;0
СевСт-ао;W;20200217;000000;930.2;933.6;908;908;4895209;0
СевСт-ао;W;20200224;000000;899.2;909.6;807.4;814.6;9746744;0
СевСт-ао;W;20200302;000000;832.6;846.8;792.6;808.6;9531610;0
СевСт-ао;W;20200309;000000;772;856.6;770;809.6;13160798;0
СевСт-ао;W;20200316;000000;820.4;845.8;762;812.6;10417403;0
СевСт-ао;W;20200323;000000;790;892;780;825.4;7957431;0
СевСт-ао;W;20200330;000000;813.8;885;807.2;882;7568691;0
СевСт-ао;W;20200406;000000;887;905;876.6;900;5144152;0
СевСт-ао;W;20200413;000000;899;901.4;853.4;864.6;4764256;0
СевСт-ао;W;20200420;000000;862.2;880.8;850.4;862.4;5868071;0
СевСт-ао;W;20200427;000000;866.8;892.4;863.2;889.6;4783192;0
СевСт-ао;W;20200504;000000;881;883.4;866;871.4;3870558;0
СевСт-ао;W;20200511;000000;862.4;867.6;818.4;824.2;5098674;0
СевСт-ао;W;20200518;000000;831.4;895.8;831.4;872;5830612;0
СевСт-ао;W;20200525;000000;874;940;873;934.6;8072237;0
СевСт-ао;W;20200601;000000;940.6;954.6;928;949;5278113;0
СевСт-ао;W;20200608;000000;952.4;956.6;936.2;939;6005597;0
СевСт-ао;W;20200615;000000;885;897;869.2;872.2;8131892;0
СевСт-ао;W;20200622;000000;873.2;878;847.2;851.6;4469698;0
СевСт-ао;W;20200629;000000;850;887.8;841;884.2;3715644;0
СевСт-ао;W;20200706;000000;892;906;866.8;880.2;4607739;0
СевСт-ао;W;20200713;000000;882.8;891;862.4;878.2;3382440;0
СевСт-ао;W;20200720;000000;878.4;902.4;874;894.2;4228687;0
СевСт-ао;W;20200727;000000;894.8;928.6;893.8;912.6;5213605;0
СевСт-ао;W;20200803;000000;912.6;946;910;924.8;4910203;0
СевСт-ао;W;20200810;000000;925.8;978;925.2;965.6;5967921;0
СевСт-ао;W;20200817;000000;969.8;974;946.6;960.2;4070228;0
СевСт-ао;W;20200824;000000;964.4;969;941;943.6;3224677;0
СевСт-ао;W;20200831;000000;945;959.4;919.6;947.4;6435440;0
СевСт-ао;W;20200907;000000;931;975.2;925.6;968;6958480;0
СевСт-ао;W;20200914;000000;974.2;998.2;971;976;5612464;0
СевСт-ао;W;20200921;000000;979;987;960;984.6;4594218;0
СевСт-ао;W;20200928;000000;985.8;1013.8;975.6;1001.6;4520270;0
СевСт-ао;W;20201005;000000;1004.4;1012;990.2;999.6;3559063;0
СевСт-ао;W;20201012;000000;1004.6;1016.2;984.4;995.2;3144141;0
СевСт-ао;W;20201019;000000;999.8;1070;982;1067;5049890;0
СевСт-ао;W;20201026;000000;1064;1092.2;1035;1085;5950188;0
СевСт-ао;W;20201102;000000;1085;1124.8;1065.4;1090.8;5635033;0
СевСт-ао;W;20201109;000000;1100;1110;1081.6;1109;6049413;0
СевСт-ао;W;20201116;000000;1114.8;1134.8;1095.4;1107.2;4639065;0
СевСт-ао;W;20201123;000000;1107.2;1154.8;1107.2;1147.2;5655545;0
СевСт-ао;W;20201130;000000;1145;1190.4;1119.6;1188.8;8690832;0
