<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПИК ао;D;20220221;000000;870;909.9;618;704.9;3353453;0
ПИК ао;D;20220222;000000;695.1;721;545;700;2631298;0
ПИК ао;D;20220224;000000;636;649.9;380.1;540;1993015;0
ПИК ао;D;20220225;000000;550;626.8;470.2;495;1839105;0
ПИК ао;D;20220324;000000;470.5;579.4;450;505;378102;0
ПИК ао;D;20220325;000000;550;550;480;498.6;211400;0
ПИК ао;D;20220328;000000;498.6;507;451.5;507;195053;0
ПИК ао;D;20220329;000000;506.7;509;457;505;380757;0
ПИК ао;D;20220330;000000;507;533;501.1;532;241120;0
ПИК ао;D;20220331;000000;540;633;538.8;596;806815;0
ПИК ао;D;20220401;000000;621;687.2;603;672.1;887105;0
ПИК ао;D;20220404;000000;683;700;621;648.1;342494;0
ПИК ао;D;20220405;000000;648;648;565.6;589;404181;0
ПИК ао;D;20220406;000000;589;594.6;562;567.1;164456;0
ПИК ао;D;20220407;000000;561;626;561;614.3;410329;0
ПИК ао;D;20220408;000000;620;647;588.4;600;348993;0
ПИК ао;D;20220411;000000;599;647.4;579.9;605;357060;0
ПИК ао;D;20220412;000000;614;628;580.2;596.7;163148;0
ПИК ао;D;20220413;000000;600;625.6;590.3;601.7;216706;0
ПИК ао;D;20220414;000000;605;609;581;590;97128;0
ПИК ао;D;20220415;000000;590.8;593.3;565;565.5;397979;0
ПИК ао;D;20220418;000000;568.2;570;537.2;546.5;223256;0
ПИК ао;D;20220419;000000;535;546.6;515;535;194097;0
ПИК ао;D;20220420;000000;535.1;550;526;540;136632;0
ПИК ао;D;20220421;000000;540.1;560;540;554.8;226001;0
ПИК ао;D;20220422;000000;564;564;542;550;282145;0
ПИК ао;D;20220425;000000;547;560;530;550.1;251689;0
ПИК ао;D;20220426;000000;557.9;569;546;560;311099;0
ПИК ао;D;20220427;000000;551;565;551;562;196231;0
ПИК ао;D;20220428;000000;566;577;548.7;549.6;201307;0
ПИК ао;D;20220429;000000;554;572.5;542.2;560.1;1117821;0
ПИК ао;D;20220504;000000;562;570.6;536;538;563359;0
ПИК ао;D;20220505;000000;545;549.4;530.8;536.5;388467;0
ПИК ао;D;20220506;000000;533.7;538.1;523;531;194590;0
ПИК ао;D;20220511;000000;531.2;547;524.6;528;393615;0
ПИК ао;D;20220512;000000;528;532;510.6;530.8;638629;0
ПИК ао;D;20220513;000000;530.8;538.3;521.1;534.3;846302;0
ПИК ао;D;20220516;000000;534.3;548.4;530.6;538.4;1250293;0
ПИК ао;D;20220517;000000;540;565;540;558.1;1896015;0
ПИК ао;D;20220518;000000;564;599;557.1;598.9;2228457;0
ПИК ао;D;20220519;000000;582.5;595;567.1;572.2;1585180;0
ПИК ао;D;20220520;000000;572.2;580.3;545.2;545.2;1249778;0
ПИК ао;D;20220523;000000;554.9;562.1;535;540;1092437;0
ПИК ао;D;20220524;000000;541.3;546;527;533.1;1263714;0
ПИК ао;D;20220525;000000;534;542;531.2;540.4;738687;0
ПИК ао;D;20220526;000000;541;586.4;541;563;512169;0
ПИК ао;D;20220527;000000;565.2;572.5;559.4;561.1;103794;0
ПИК ао;D;20220530;000000;569;575;545.4;553.3;115133;0
ПИК ао;D;20220531;000000;551;551;535;542.9;81142;0
ПИК ао;D;20220601;000000;541.6;562.5;534.9;558;157795;0
ПИК ао;D;20220602;000000;559;560.5;541.7;543.2;89230;0
ПИК ао;D;20220603;000000;543.2;544.8;523;541.7;125879;0
ПИК ао;D;20220606;000000;542.1;545;529.1;541;72536;0
ПИК ао;D;20220607;000000;541;545.8;527;539.9;130547;0
ПИК ао;D;20220608;000000;527.2;544.3;520;537.8;191656;0
ПИК ао;D;20220609;000000;540.4;565;534.4;564;221727;0
ПИК ао;D;20220610;000000;565;594.7;550.4;555;937468;0
ПИК ао;D;20220614;000000;555;555.3;540;541;114428;0
ПИК ао;D;20220615;000000;545;549.4;540.4;545.4;98531;0
ПИК ао;D;20220616;000000;548.8;563.1;545.8;559.2;223741;0
ПИК ао;D;20220617;000000;561.8;588.6;555;578.3;392547;0
ПИК ао;D;20220620;000000;587;598.5;581.1;581.1;400703;0
ПИК ао;D;20220621;000000;585;640.9;580;636.3;1175994;0
ПИК ао;D;20220622;000000;635.5;635.5;612.1;630;674905;0
ПИК ао;D;20220623;000000;630.9;694;630.1;691.5;1481619;0
ПИК ао;D;20220624;000000;685.1;728.8;672;709;1861586;0
ПИК ао;D;20220627;000000;714;783.1;703.2;783;2197260;0
ПИК ао;D;20220628;000000;784.9;845.6;752;794.5;5603381;0
ПИК ао;D;20220629;000000;792;792;733;737.1;2170531;0
ПИК ао;D;20220630;000000;735.7;774.8;706;730.1;1451021;0
ПИК ао;D;20220701;000000;729;780;713;780;1079988;0
ПИК ао;D;20220704;000000;780.1;790;735.1;742;815646;0
ПИК ао;D;20220705;000000;743.7;755;720;745.3;554518;0
ПИК ао;D;20220706;000000;735;755;735;751.5;260425;0
ПИК ао;D;20220707;000000;754.4;770;746.8;756.9;309721;0
ПИК ао;D;20220708;000000;759.9;759.9;742;757;168681;0
ПИК ао;D;20220711;000000;747;755;723.7;731;382868;0
ПИК ао;D;20220712;000000;728;729.8;711;720;291583;0
ПИК ао;D;20220713;000000;729.3;746;717.1;723;571596;0
ПИК ао;D;20220714;000000;724;731.4;715.2;729;181008;0
ПИК ао;D;20220715;000000;730;743;727.2;739.3;231884;0
ПИК ао;D;20220718;000000;742.5;772;741.4;770;648433;0
ПИК ао;D;20220719;000000;775;778.3;750;754;268766;0
ПИК ао;D;20220720;000000;760.2;769.9;753.7;766.6;183696;0
ПИК ао;D;20220721;000000;765;786;739.9;782;636775;0
ПИК ао;D;20220722;000000;789.8;797.5;770;776;880415;0
ПИК ао;D;20220725;000000;780;790;765.1;770;341989;0
ПИК ао;D;20220726;000000;779.8;779.8;756.5;760;260006;0
ПИК ао;D;20220727;000000;760;768.9;752;752.5;181385;0
ПИК ао;D;20220728;000000;751.3;758;745.1;754.5;123064;0
ПИК ао;D;20220729;000000;755;771.1;752.9;771;233888;0
ПИК ао;D;20220801;000000;770;774;750.4;755.5;147134;0
ПИК ао;D;20220802;000000;755.8;755.8;723;727;205787;0
ПИК ао;D;20220803;000000;725;730;716;719;168628;0
ПИК ао;D;20220804;000000;717;738.3;701.7;737;178022;0
ПИК ао;D;20220805;000000;739;745;718;732.1;168692;0
ПИК ао;D;20220808;000000;737;757;732.7;741.7;272542;0
ПИК ао;D;20220809;000000;748;760;738.1;756;165389;0
ПИК ао;D;20220810;000000;756;764.9;748.3;751.4;156476;0
ПИК ао;D;20220811;000000;753;759.8;737.4;737.9;103481;0
ПИК ао;D;20220812;000000;736;736;720.5;728.8;291247;0
ПИК ао;D;20220815;000000;730.1;738.6;722;730.9;222831;0
ПИК ао;D;20220816;000000;730.9;730.9;713.7;725.4;463439;0
ПИК ао;D;20220817;000000;725.4;729.5;717;717;163005;0
ПИК ао;D;20220818;000000;717;726.5;710.2;718;163168;0
ПИК ао;D;20220819;000000;718.9;723.7;715.2;721;84856;0
ПИК ао;D;20220822;000000;725;727;718.4;726.2;105249;0
ПИК ао;D;20220823;000000;727;731;719.5;722.1;163639;0
ПИК ао;D;20220824;000000;721;725.2;715.2;718.7;125739;0
ПИК ао;D;20220825;000000;716.8;723;685;705.9;352433;0
ПИК ао;D;20220826;000000;718.2;726.8;707.1;726.8;308539;0
ПИК ао;D;20220829;000000;728.5;772;717.1;772;1242763;0
ПИК ао;D;20220830;000000;772;779.5;745;748.5;637803;0
